study_id,experiment_group,base_experiment_id,architecture,window_size,stride,hidden,latent_dim,beta,scaling,threshold_method,split,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,n_seeds,seeds,threshold_value_mean,threshold_value_std
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_128_64_32,dense,60,10,"[128, 64, 32]",16,1.0,none,train_p995,test,0.6013948778147952,0.09792143596367772,0.09714889123548047,0.013848866999581844,0.1661902646883626,0.017518695592517713,0.9932539946231241,0.0017290211523421416,0.7560495209266883,0.05538881023103064,0.9580809231002809,0.0008418115781885686,0.5470194824291137,0.006261949025094563,3,"7,42,123",28.16655659675598,16.285390125541134
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_128_64_32,dense,60,10,"[128, 64, 32]",16,1.0,none,train_p995,val,0.07482993197278912,0.12960924410379354,0.015471167369901548,0.02679684793707124,0.025641025641025637,0.04441155916843275,0.9926065070920492,0.004258734722998188,0.4645707114239512,0.1676378297703974,0.987418723070897,0.0006518650705120749,0.5069195999095603,0.013326817964629789,3,"7,42,123",28.16655659675598,16.285390125541134
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_128_64_32,dense,60,10,"[128, 64, 32]",16,1.0,none,val_f1,test,0.8274691665211297,0.054684984080546006,0.7988384371700107,0.07414920732990539,0.8127119368690604,0.06380142078945013,0.9932539946231241,0.0017290211523421416,0.7560495209266883,0.05538881023103064,0.9841797616336446,0.005173041741941574,0.895686513583736,0.03807091656259356,3,"7,42,123",23.757455092770368,11.814196046686614
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_128_64_32,dense,60,10,"[128, 64, 32]",16,1.0,none,val_f1,val,0.510130136352278,0.18275368753801713,0.8607594936708861,0.10548523206751056,0.6338936270873443,0.16575115453100828,0.9926065070920492,0.004258734722998188,0.4645707114239512,0.1676378297703974,0.9881707794751273,0.006422534814566933,0.9251828016251885,0.054626746296906704,3,"7,42,123",23.757455092770368,11.814196046686614
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_256_128,dense,60,10,"[256, 128]",16,1.0,none,train_p98,test,0.6103507591334251,0.1950570304601842,0.27455121436114044,0.2895369998860266,0.3521359019782731,0.3055980370969034,0.9943484009577954,0.0006420864794764313,0.7547641933151413,0.026930609469672705,0.963842708570561,0.012202841619021495,0.6347329250277396,0.14460189324113398,3,"7,42,123",13.851375738779703,0.8163206766055789
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_256_128,dense,60,10,"[256, 128]",16,1.0,none,train_p98,val,0.3484085727314182,0.20997216309921352,0.3628691983122363,0.34714739530931044,0.34099051853154316,0.2672841929504692,0.9931883355134351,0.00035590923489509704,0.440704100601244,0.007303898939370462,0.9873247160203681,0.001959169483097934,0.678614305718846,0.17255946274955053,3,"7,42,123",13.851375738779703,0.8163206766055789
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_256_128,dense,60,10,"[256, 128]",16,1.0,none,train_p99,test,0.5709227133953795,0.11257041874189967,0.1334037310806054,0.0743056892900985,0.21292523923654447,0.10280244511462455,0.9943484009577954,0.0006420864794764313,0.7547641933151413,0.026930609469672705,0.9586123130646018,0.0029786194982838778,0.5646074253270507,0.03694655301913779,3,"7,42,123",14.431312322616577,0.9140964869891006
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_256_128,dense,60,10,"[256, 128]",16,1.0,none,train_p99,val,0.13445378151260504,0.23288078084959696,0.06751054852320675,0.11693170008903814,0.0898876404494382,0.1556899602309103,0.9931883355134351,0.00035590923489509704,0.440704100601244,0.007303898939370462,0.9859772816294555,0.0015816761913227837,0.5319173302238305,0.05859635109554685,3,"7,42,123",14.431312322616577,0.9140964869891006
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_256_128,dense,60,10,"[256, 128]",16,1.0,none,train_p995,test,0.54775521609538,0.059102749919871876,0.09486096444913762,0.008535273250955395,0.16140132913593652,0.012349185610414022,0.9943484009577954,0.0006420864794764313,0.7547641933151413,0.026930609469672705,0.957511576709937,0.0008091398452817433,0.5456295809805983,0.004080013615517466,3,"7,42,123",14.859750906626383,1.1267266783955217
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_256_128,dense,60,10,"[256, 128]",16,1.0,none,train_p995,val,0.0,0.0,0.0,0.0,0.0,0.0,0.9931883355134351,0.00035590923489509704,0.440704100601244,0.007303898939370462,0.9861339600470035,0.0008235682946150398,0.49862154197167036,0.00041642303137026985,3,"7,42,123",14.859750906626383,1.1267266783955217
