study_id,experiment_group,experiment_id,run_id,run_dir,window_size,stride,hidden,latent_dim,beta,seed,scaling,threshold_method,threshold_value,split,precision,recall,f1,roc_auc,pr_auc,accuracy,balanced_accuracy,tn,fp,fn,tp,n_train_windows,n_val_windows,n_test_windows,n_val_positive,n_test_positive,train_score_mean,train_score_std,train_score_p98,test_score_mean_normal,test_score_mean_anomaly
20260426_230603_wrapup_layers_windows_noscale_beta1,layers,layers_64_32,20260426_231018,models/vae_grid_runs/20260426_230603_wrapup_layers_windows_noscale_beta1/runs/layers/layers_64_32/20260426_231018,60,10,"[64, 32]",16,1.0,42,none,val_f1,10.522387413523305,test,0.01903384437373445,0.1737064413938754,0.03430835810000521,0.5367709771748842,0.06891793010600056,0.5782054201776361,0.3850729465156734,25060,16956,1565,329,63526,21275,43910,237,1894,10.326876640319824,2.4583775997161865,16.49639892578125,10.377968788146973,11.069475173950195
20260426_230603_wrapup_layers_windows_noscale_beta1,windows,win120,20260426_235333,models/vae_grid_runs/20260426_230603_wrapup_layers_windows_noscale_beta1/runs/windows/win120/20260426_235333,120,20,"[128, 64]",16,1.0,42,none,train_p98,9.228676795959473,val,0.0,0.0,0.0,0.9856584093872229,0.2621090055078595,0.9795016455101081,0.49524579252638584,10417,100,118,0,31757,10635,21952,118,948,4.456789493560791,1.5372262001037598,9.228676795959473,4.204187393188477,8.94356918334961
20260426_230603_wrapup_layers_windows_noscale_beta1,windows,win120,20260426_235333,models/vae_grid_runs/20260426_230603_wrapup_layers_windows_noscale_beta1/runs/windows/win120/20260426_235333,120,20,"[128, 64]",16,1.0,42,none,train_p98,9.228676795959473,test,0.35315985130111527,0.10021097046413502,0.1561216105176664,0.9903007725271538,0.6381324619482596,0.9532161078717201,0.5459634170545775,20830,174,853,95,31757,10635,21952,118,948,4.456789493560791,1.5372262001037598,9.228676795959473,4.204187393188477,8.94356918334961
20260426_230603_wrapup_layers_windows_noscale_beta1,windows,win120,20260426_235333,models/vae_grid_runs/20260426_230603_wrapup_layers_windows_noscale_beta1/runs/windows/win120/20260426_235333,120,20,"[128, 64]",16,1.0,42,none,train_p99,9.652694702148438,val,0.0,0.0,0.0,0.9856584093872229,0.2621090055078595,0.9804419370004701,0.49572121327374724,10427,90,118,0,31757,10635,21952,118,948,4.456789493560791,1.5372262001037598,9.228676795959473,4.204187393188477,8.94356918334961
20260426_230603_wrapup_layers_windows_noscale_beta1,windows,win120,20260426_235333,models/vae_grid_runs/20260426_230603_wrapup_layers_windows_noscale_beta1/runs/windows/win120/20260426_235333,120,20,"[128, 64]",16,1.0,42,none,train_p99,9.652694702148438,test,0.3667953667953668,0.10021097046413502,0.15741507870753935,0.9903007725271538,0.6381324619482596,0.9536716472303207,0.5462014669498355,20840,164,853,95,31757,10635,21952,118,948,4.456789493560791,1.5372262001037598,9.228676795959473,4.204187393188477,8.94356918334961
20260426_230603_wrapup_layers_windows_noscale_beta1,windows,win120,20260426_235333,models/vae_grid_runs/20260426_230603_wrapup_layers_windows_noscale_beta1/runs/windows/win120/20260426_235333,120,20,"[128, 64]",16,1.0,42,none,train_p995,10.148149490356445,val,0.0,0.0,0.0,0.9856584093872229,0.2621090055078595,0.9823225199811941,0.4966720547684701,10447,70,118,0,31757,10635,21952,118,948,4.456789493560791,1.5372262001037598,9.228676795959473,4.204187393188477,8.94356918334961
20260426_230603_wrapup_layers_windows_noscale_beta1,windows,win120,20260426_235333,models/vae_grid_runs/20260426_230603_wrapup_layers_windows_noscale_beta1/runs/windows/win120/20260426_235333,120,20,"[128, 64]",16,1.0,42,none,train_p995,10.148149490356445,test,0.39461883408071746,0.09282700421940929,0.1502988898377455,0.9903007725271538,0.6381324619482596,0.954673833819242,0.5431998285237211,20869,135,860,88,31757,10635,21952,118,948,4.456789493560791,1.5372262001037598,9.228676795959473,4.204187393188477,8.94356918334961
20260426_230603_wrapup_layers_windows_noscale_beta1,windows,win120,20260426_235333,models/vae_grid_runs/20260426_230603_wrapup_layers_windows_noscale_beta1/runs/windows/win120/20260426_235333,120,20,"[128, 64]",16,1.0,42,none,val_f1,8.335435449801498,val,0.3512658227848101,0.940677966101695,0.511520737327189,0.9856584093872229,0.2621090055078595,0.9800658204043253,0.9605928577299385,10312,205,7,111,31757,10635,21952,118,948,4.456789493560791,1.5372262001037598,9.228676795959473,4.204187393188477,8.94356918334961
20260426_230603_wrapup_layers_windows_noscale_beta1,windows,win120,20260426_235333,models/vae_grid_runs/20260426_230603_wrapup_layers_windows_noscale_beta1/runs/windows/win120/20260426_235333,120,20,"[128, 64]",16,1.0,42,none,val_f1,8.335435449801498,test,0.7869934024505184,0.880801687763713,0.8312593330014932,0.9903007725271538,0.6381324619482596,0.9845572157434402,0.9350209162490246,20778,226,113,835,31757,10635,21952,118,948,4.456789493560791,1.5372262001037598,9.228676795959473,4.204187393188477,8.94356918334961
20260426_230603_wrapup_layers_windows_noscale_beta1,windows,win30,20260426_234418,models/vae_grid_runs/20260426_230603_wrapup_layers_windows_noscale_beta1/runs/windows/win30/20260426_234418,30,5,"[128, 64]",16,1.0,42,none,train_p98,5.454786777496338,val,0.0,0.0,0.0,0.2353647509699426,0.007094977766938077,0.9639055340148044,0.48736989686801957,41019,1063,473,0,127063,42555,87825,473,3789,1.1589525938034058,1.829872965812683,5.454786777496338,1.8184905052185059,0.7104913592338562
20260426_230603_wrapup_layers_windows_noscale_beta1,windows,win30,20260426_234418,models/vae_grid_runs/20260426_230603_wrapup_layers_windows_noscale_beta1/runs/windows/win30/20260426_234418,30,5,"[128, 64]",16,1.0,42,none,train_p98,5.454786777496338,test,0.0050573162508428865,0.00395882818685669,0.0044411547002220575,0.2188493636698902,0.026610000052398303,0.9234272701394819,0.4844214627392468,81085,2951,3774,15,127063,42555,87825,473,3789,1.1589525938034058,1.829872965812683,5.454786777496338,1.8184905052185059,0.7104913592338562
20260426_230603_wrapup_layers_windows_noscale_beta1,windows,win30,20260426_234418,models/vae_grid_runs/20260426_230603_wrapup_layers_windows_noscale_beta1/runs/windows/win30/20260426_234418,30,5,"[128, 64]",16,1.0,42,none,train_p99,5.958400249481201,val,0.0,0.0,0.0,0.2353647509699426,0.007094977766938077,0.9767359887204794,0.4938572311201939,41565,517,473,0,127063,42555,87825,473,3789,1.1589525938034058,1.829872965812683,5.454786777496338,1.8184905052185059,0.7104913592338562
