study_id,experiment_group,base_experiment_id,experiment_id,run_id,run_dir,architecture,window_size,stride,hidden,latent_dim,beta,seed,scaling,threshold_method,threshold_value,split,precision,recall,f1,roc_auc,pr_auc,accuracy,balanced_accuracy,tn,fp,fn,tp,n_train_windows,n_val_windows,n_test_windows,n_val_positive,n_test_positive,train_score_mean,train_score_std,train_score_p98,test_score_mean_normal,test_score_mean_anomaly
20260430_074356_wrapup_layers_windows_noscale_beta1,architectures,arch_lstm,arch_lstm,20260430_082716,models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/architectures/arch_lstm/20260430_082716,lstm_autoencoder,60,10,"[128, 64]",16,1.0,42,none,train_p995,70.09945583343506,val,0.0,0.0,0.0,0.997406340866818,0.6898076107492991,0.9882491186839013,0.4996910352695123,21025,13,237,0,63526,21275,43910,237,1894,13.626240730285645,12.486207962036133,58.62646293640137,26.60433006286621,65.27336883544922
20260430_074356_wrapup_layers_windows_noscale_beta1,architectures,arch_lstm,arch_lstm,20260430_082716,models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/architectures/arch_lstm/20260430_082716,lstm_autoencoder,60,10,"[128, 64]",16,1.0,42,none,train_p995,70.09945583343506,test,0.7319148936170212,0.0908130939809926,0.16157820573038986,0.9951256186610863,0.8613219399910348,0.9593486677294466,0.54465683259598,41953,63,1722,172,63526,21275,43910,237,1894,13.626240730285645,12.486207962036133,58.62646293640137,26.60433006286621,65.27336883544922
20260430_074356_wrapup_layers_windows_noscale_beta1,architectures,arch_lstm,arch_lstm,20260430_082716,models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/architectures/arch_lstm/20260430_082716,lstm_autoencoder,60,10,"[128, 64]",16,1.0,42,none,val_f1,62.444493637084925,val,0.8403755868544601,0.7552742616033755,0.7955555555555556,0.997406340866818,0.6898076107492991,0.9956756756756757,0.8768290691988738,21004,34,58,179,63526,21275,43910,237,1894,13.626240730285645,12.486207962036133,58.62646293640137,26.60433006286621,65.27336883544922
20260430_074356_wrapup_layers_windows_noscale_beta1,architectures,arch_lstm,arch_lstm,20260430_082716,models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/architectures/arch_lstm/20260430_082716,lstm_autoencoder,60,10,"[128, 64]",16,1.0,42,none,val_f1,62.444493637084925,test,0.8689458689458689,0.48310454065469904,0.6209704784526637,0.9951256186610863,0.8613219399910348,0.9745616032794352,0.7399100387965041,41878,138,979,915,63526,21275,43910,237,1894,13.626240730285645,12.486207962036133,58.62646293640137,26.60433006286621,65.27336883544922
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_128_64_32,layers_128_64_32_s123,20260430_080044,models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/layers/layers_128_64_32_s123/20260430_080044,dense,60,10,"[128, 64, 32]",16,1.0,123,none,train_p98,22.61285972595215,val,0.32398753894080995,0.8776371308016878,0.4732650739476678,0.9899470638422818,0.3673369736193151,0.9782373678025852,0.928503896706101,20604,434,29,208,63526,21275,43910,237,1894,11.728836059570312,3.3365795612335205,22.61285972595215,14.427188873291016,24.122365951538086
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_128_64_32,layers_128_64_32_s123,20260430_080044,models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/layers/layers_128_64_32_s123/20260430_080044,dense,60,10,"[128, 64, 32]",16,1.0,123,none,train_p98,22.61285972595215,test,0.7637437528396184,0.8875395987328405,0.8210012210012209,0.9914200986238662,0.6984292857007164,0.9833067638351173,0.937581680554539,41496,520,213,1681,63526,21275,43910,237,1894,11.728836059570312,3.3365795612335205,22.61285972595215,14.427188873291016,24.122365951538086
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_128_64_32,layers_128_64_32_s123,20260430_080044,models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/layers/layers_128_64_32_s123/20260430_080044,dense,60,10,"[128, 64, 32]",16,1.0,123,none,train_p99,23.721928119659424,val,0.4084507042253521,0.3670886075949367,0.38666666666666666,0.9899470638422818,0.3673369736193151,0.987027027027027,0.6805497225635108,20912,126,150,87,63526,21275,43910,237,1894,11.728836059570312,3.3365795612335205,22.61285972595215,14.427188873291016,24.122365951538086
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_128_64_32,layers_128_64_32_s123,20260430_080044,models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/layers/layers_128_64_32_s123/20260430_080044,dense,60,10,"[128, 64, 32]",16,1.0,123,none,train_p99,23.721928119659424,test,0.6895604395604396,0.397571277719113,0.5043536503683859,0.9914200986238662,0.6984292857007164,0.966294693691642,0.6947514614033493,41677,339,1141,753,63526,21275,43910,237,1894,11.728836059570312,3.3365795612335205,22.61285972595215,14.427188873291016,24.122365951538086
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_128_64_32,layers_128_64_32_s123,20260430_080044,models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/layers/layers_128_64_32_s123/20260430_080044,dense,60,10,"[128, 64, 32]",16,1.0,123,none,train_p995,25.274170398712158,val,0.22448979591836735,0.046413502109704644,0.07692307692307691,0.9899470638422818,0.3673369736193151,0.9875910693301998,0.5223036233811191,21000,38,226,11,63526,21275,43910,237,1894,11.728836059570312,3.3365795612335205,22.61285972595215,14.427188873291016,24.122365951538086
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_128_64_32,layers_128_64_32_s123,20260430_080044,models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/layers/layers_128_64_32_s123/20260430_080044,dense,60,10,"[128, 64, 32]",16,1.0,123,none,train_p995,25.274170398712158,test,0.539440203562341,0.1119324181626188,0.1853957149103629,0.9914200986238662,0.6984292857007164,0.9575723069915737,0.5538122677256354,41835,181,1682,212,63526,21275,43910,237,1894,11.728836059570312,3.3365795612335205,22.61285972595215,14.427188873291016,24.122365951538086
