model,source,percentile,threshold,precision,recall,f1,fp,tp
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,96.76836734693877,159.06126316304116,0.5492137449039022,0.9947257383966245,0.7076923076923077,774,943
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,96.86938775510204,162.78737701291462,0.6467353951890035,0.9926160337552743,0.7831876820640865,514,941
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,96.9704081632653,168.5162130313804,0.7788861180382377,0.9883966244725738,0.8712226871222687,266,937
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,97.07142857142857,171.56303004673543,0.8194566170026293,0.9862869198312236,0.8951651507898516,206,935
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,97.17244897959183,173.33170566045018,0.8339285714285715,0.9852320675105485,0.9032882011605415,186,934
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,97.27346938775511,174.3028660465163,0.8452488687782805,0.9852320675105485,0.9098879688261081,171,934
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,97.37448979591838,175.01856368084367,0.8495897903372835,0.9831223628691983,0.9114914425427874,165,932
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,97.47551020408164,175.67234575793208,0.8556985294117647,0.9820675105485233,0.9145383104125737,157,931
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,97.57653061224491,176.0837885019731,0.8564857405703772,0.9820675105485233,0.9149877149877149,156,931
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,97.67755102040817,176.68474699059314,0.8628359592215014,0.9820675105485233,0.9185989146521955,148,931
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,97.77857142857144,177.1869075971332,0.8684701492537313,0.9820675105485233,0.9217821782178218,141,931
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,97.8795918367347,177.81041038295203,0.8712406015037594,0.9778481012658228,0.9214711729622267,137,927
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,97.98061224489797,178.54922459567322,0.8761814744801513,0.9778481012658228,0.9242273180458623,131,927
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,98.08163265306123,178.9695563989758,0.879277566539924,0.9757383966244726,0.925,127,925
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,98.1826530612245,179.3300330903968,0.8801141769743102,0.9757383966244726,0.9254627313656829,126,925
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,98.28367346938776,179.88407193553704,0.8815663801337154,0.9736286919831224,0.9253132832080201,124,923
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,98.38469387755103,180.40033370598007,0.8840996168582376,0.9736286919831224,0.926706827309237,121,923
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,98.4857142857143,180.96416592843204,0.888996138996139,0.9715189873417721,0.9284274193548387,115,921
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,98.58673469387756,181.61307760121878,0.8923375363724539,0.9704641350210971,0.9297625063163214,111,920
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,98.68775510204082,182.27925802923707,0.8963831867057673,0.9672995780590717,0.930492135971588,106,917
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,98.78877551020409,182.93595454064194,0.899803536345776,0.9662447257383966,0.9318413021363173,102,916
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,98.88979591836735,183.62895204131456,0.9032576505429417,0.9651898734177216,0.9331973482916879,98,915
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,98.99081632653062,184.42531691196987,0.9067460317460317,0.9641350210970464,0.9345603271983639,94,914
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,99.09183673469389,185.49140296157526,0.9086345381526104,0.9546413502109705,0.9310699588477367,91,905
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,99.19285714285715,187.71262048339847,0.9124168514412417,0.8681434599156118,0.8897297297297299,79,823
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,99.29387755102042,190.2685948536153,0.8997175141242938,0.6719409282700421,0.7693236714975844,71,637
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,99.39489795918368,192.53039157042213,0.888015717092338,0.4767932489451477,0.6204529855868223,57,452
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,99.49591836734695,197.70151814363462,0.8302752293577982,0.1909282700421941,0.3104631217838765,37,181
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,99.59693877551021,206.7727669167051,0.8888888888888888,0.08438818565400844,0.15414258188824662,10,80
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,99.69795918367348,219.8471201719951,0.9493670886075949,0.07911392405063292,0.14605647517039924,4,75
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,99.79897959183674,223.76764099183396,0.948051948051948,0.0770042194092827,0.1424390243902439,4,73
